Version,Phase,Character,WishCount,DaysSinceLaunch,MajorVersion,RerunInterval,RerunCount
1.3,B,Hu Tao,19125,147,1,,0
1.4,A,Venti,34416,168,1,,0
1.4,B,Tartaglia,47426,189,1,,0
1.5,A,Zhongli,101479,210,1,,0
1.5,B,Eula,106000,231,1,,0
1.6,A,Klee,100603,252,1,,0
1.6,B,Kaedehara Kazuha,229353,273,1,,0
2.0,A,Kamisato Ayaka,281833,294,2,,0
2.0,B,Yoimiya,166934,315,2,,0
2.1,A,Raiden Shogun,547531,336,2,,0
2.1,B,Sangonomiya Kokomi,211348,357,2,,0
2.2,A,Tartaglia,248321,378,2,168,1
2.2,B,Hu Tao,546489,399,2,231,1
2.3,A,Albedo,193038,420,2,,0
2.3,A,Eula,178568,420,2,168,1
2.3,B,Arataki Itto,237979,441,2,,0
2.4,A,Xiao,244248,462,2,,0
2.4,A,Shenhe,163955,462,2,,0
2.4,B,Ganyu,274075,483,2,,0
2.4,B,Zhongli,339362,483,2,252,1
2.5,A,Yae Miko,309776,504,2,,0
2.5,B,Raiden Shogun,251687,525,2,168,1
2.5,B,Sangonomiya Kokomi,67235,525,2,147,1
2.6,A,Venti,154664,546,2,357,1
2.6,A,Kamisato Ayato,270324,546,2,,0
2.6,B,Kamisato Ayaka,300645,567,2,252,1
2.7,A,Xiao,96916,588,2,105,1
2.7,A,Yelan,254472,588,2,,0
2.7,B,Arataki Itto,94737,609,2,147,1
2.8,A,Klee,57858,630,2,357,1
2.8,A,Kaedehara Kazuha,390626,630,2,336,1
2.8,B,Yoimiya,121794,651,2,315,1
3.0,A,Tighnari,80564,672,3,,0
3.0,A,Zhongli,117554,672,3,168,2
3.0,B,Sangonomiya Kokomi,68789,693,3,147,2
3.0,B,Ganyu,84602,693,3,189,1
3.1,A,Venti,58993,714,3,147,2
3.1,A,Cyno,149178,714,3,,0
3.1,B,Albedo,44938,735,3,294,1
3.1,B,Nilou,135120,735,3,,0
3.2,A,Yoimiya,27829,756,3,84,2
3.2,A,Nahida,343854,756,3,,0
3.2,B,Yae Miko,90363,777,3,252,1
3.2,B,Tartaglia,55527,777,3,378,2
3.3,A,Arataki Itto,28681,798,3,168,2
3.3,A,Wanderer,250029,798,3,,0
3.3,B,Kamisato Ayato,50048,819,3,252,1
3.3,B,Raiden Shogun,201770,819,3,273,2
3.4,A,Xiao,45463,840,3,231,2
3.4,A,Alhaitham,148853,840,3,,0
3.4,B,Yelan,188779,861,3,252,1
3.4,B,Hu Tao,128417,861,3,441,2
3.5,A,Cyno,34225,882,3,147,1
3.5,A,Dehya,57974,882,3,,0
3.5,B,Shenhe,108264,903,3,420,1
3.5,B,Kamisato Ayaka,91884,903,3,315,2
3.6,A,Nilou,51949,924,3,168,1
3.6,A,Nahida,131540,924,3,147,1
3.6,B,Ganyu,42301,945,3,231,2
3.6,B,Baizhu,83065,945,3,,0
3.7,A,Yoimiya,38396,966,3,189,3
3.7,A,Yae Miko,60342,966,3,168,2
3.7,B,Alhaitham,46290,987,3,126,1
3.7,B,Kaedehara Kazuha,121962,987,3,336,2
3.8,A,Klee,22677,1008,3,357,2
3.8,A,Eula,55772,1008,3,567,2
3.8,B,Wanderer,74537,1029,3,210,1
3.8,B,Sangonomiya Kokomi,72964,1029,3,315,3
4.0,A,Yelan,98836,1050,4,168,2
4.0,A,Lyney,77500,1050,4,,0
4.0,B,Zhongli,88160,1071,4,378,3
4.0,B,Tartaglia,28235,1071,4,273,3
4.1,A,Neuvillette,221033,1092,4,,0
4.1,A,Hu Tao,70591,1092,4,210,3
4.1,B,Wriothesley,98099,1113,4,,0
4.1,B,Venti,22439,1113,4,378,3
4.2,A,Baizhu,24694,1134,4,168,1
4.2,A,Furina,372644,1134,4,,0
4.2,B,Kamisato Ayato,39488,1155,4,315,2
4.2,B,Cyno,16283,1155,4,252,2
4.3,A,Kamisato Ayaka,27253,1176,4,252,3
4.3,A,Navia,136731,1176,4,,0
4.3,B,Yoimiya,18690,1197,4,210,4
4.3,B,Raiden Shogun,127506,1197,4,357,3
4.4,A,Xianyun,142211,1218,4,,0
4.4,A,Nahida,90796,1218,4,273,2
4.4,B,Xiao,31684,1239,4,378,3
4.4,B,Yae Miko,33119,1239,4,252,3
4.5,C,Eula,9632,1260,4,231,3
4.5,C,Klee,7112,1260,4,231,3
4.5,C,Albedo,10609,1260,4,504,2
4.5,A,Chiori,54242,1260,4,,0
4.5,A,Arataki Itto,10851,1260,4,441,3
4.5,B,Kaedehara Kazuha,53741,1281,4,273,3
4.5,B,Neuvillette,53741,1281,4,168,1
4.6,A,Arlecchino,261616,1302,4,,0
4.6,A,Lyney,11775,1302,4,231,1
4.6,B,Baizhu,16953,1323,4,168,2
4.6,B,Wanderer,32209,1323,4,273,2
4.7,A,Alhaitham,32699,1344,4,336,2
4.7,A,Clorinde,121187,1344,4,,0
4.7,B,Sigewinne,29671,1365,4,,0
4.7,B,Furina,131193,1365,4,210,1
4.8,A,Nilou,34685,1386,4,441,2
4.8,A,Navia,57513,1386,4,189,1
4.8,B,Yelan,61975,1407,4,336,3
4.8,B,Emilie,46028,1407,4,,0
5.0,A,Kaedehara Kazuha,73008,1428,5,126,4
5.0,A,Mualani,143297,1428,5,,0
5.0,B,Raiden Shogun,77584,1449,5,231,4
5.0,B,Kinich,123126,1449,5,,0
5.1,A,Chiori,23347,1470,5,189,1
5.1,A,Xilonen,196857,1470,5,,0
5.1,B,Hu Tao,31570,1491,5,378,4
5.1,B,Nahida,71510,1491,5,252,3
5.2,A,Lyney,16803,1512,5,189,2
5.2,A,Chasca,109105,1512,5,,0
5.2,B,Zhongli,46236,1533,5,441,4
5.2,B,Neuvillette,99472,1533,5,231,2
5.3,C,Shenhe,31190,1554,5,630,2
5.3,C,Tartaglia,17750,1554,5,462,4
5.3,C,Xiao,17068,1554,5,294,4
5.3,C,Ganyu,17585,1554,5,588,3
5.3,A,Mavuika,248360,1554,5,,0
5.3,A,Citlali,148036,1554,5,,0
5.3,C,Baizhu,14404,1554,5,210,3
5.3,B,Arlecchino,110841,1575,5,252,1
5.3,B,Clorinde,38786,1575,5,210,1
5.4,A,Sigewinne,8671,1596,5,210,1
5.4,A,Yumemizuki Mizuki,16854,1596,5,,0
5.4,B,Furina,125418,1617,5,231,2
5.4,B,Wriothesley,46540,1617,5,483,1
5.5,A,Xianyun,34840,1638,5,399,1
5.5,A,Varesa,82377,1638,5,,0
5.5,B,Venti,12949,1659,5,525,4
5.5,B,Xilonen,78441,1659,5,168,1
5.6,C,Kaedehara Kazuha,13980,1680,5,231,5
5.6,C,Yae Miko,9969,1680,5,420,4
